Month,Sales
April,1060000
April,1750000
April,1125000
April,990000
April,1050000
April,1120000
April,1045000
April,1000000
April,1080000
April,1000000
April,1020000
April,1339000
April,1100000
May,1280000
May,1050000
May,1050000
May,1150000
May,1040000
May,900000
May,1040000
May,750000
May,750000
May,850000
May,1000000
May,1330000
May,1080000
May,1000000
May,1050000
May,1155000
June,1125000
June,945000
June,990000
June,1150000
June,1065000
June,2145000
June,1200000
June,1285000
June,740000
June,800000
June,1350000
June,1020000
June,1195000
June,1115000
June,1065000
July,1155000
July,1100000
July,1025000
July,1140000
July,1200000
July,1300000
July,1115000
July,1100000
July,2000000
July,1035000
July,1065000
July,1170000
July,1050000
July,999000
July,1095000
August,1760000
August,1015000
August,980000
August,1050000
August,1030000
August,1225000
August,1025000
August,1225000
August,970000
August,1100000
August,1130000
August,1270000
August,1760000
August,1285000
August,1020000
August,1005360
August,1711000
September,1095000
September,1000000
September,1100000
September,1125000
September,1200000
September,1050000
September,1075000
September,1050000
September,1000000
September,1400000
September,1025000
September,1035000
September,1085000
September,1000000
September,1170000
September,1140000
October,1115000
October,1025000
October,1000000
October,1350000
October,1000000
October,1175000
October,1275000
October,1275000
October,1105000
October,1025000
October,1025000
October,995000
October,1150000
October,1475000
October,1450000
October,1450000
October,1150000
November,1025000
November,740000
November,1075000
November,1135000
November,1225000
November,1040000
November,1200000
November,1120000
November,1112500
November,1160000
November,1140000
November,1025000
November,1000000
November,1465000
November,1191000
December,1050000
December,1255000
December,1350000
December,1400000
December,1225000
December,1225000
December,1000000
December,1025000
December,1025000
December,1300000
December,1240000
December,1100000
December,1990000
December,970000
December,1130000
January,1025000
January,1060000
January,1200000
January,1190000
January,1100000
January,1050000
January,1080000
January,1115000
January,1100000
January,1549340
January,1335000
January,975000
January,1000000
January,1300000
January,1325000
January,1499000
January,1824000
February,1030000
February,1020000
February,1000000
February,1125000
February,1140000
February,1010000
February,1020000
February,1075000
February,1020000
February,1200000
February,1065000
February,2300000
February,1100000
February,1050000
February,975000
February,1430000
February,1100000
March,1060000
March,1865000
March,1000000
March,1125000
March,1032000
March,1200000
March,1110000
March,975000
March,1165000
March,985000
March,1115000
March,1100000
March,1175000
March,1040000
March,1150000
March,975000
March,1330000
March,1450000
March,995000
March,1090000
